text,label,document_index,subset
nifi6652 fix overflow text variabl dialog close 3982,code/design_debt,0,train
tidi bind polici valid bit,code/design_debt,2,train
improv error log replic write failur error happen write document target endpoint log revis error error reason also ad test cover case target validatedocupd function,code/design_debt,4,train
remov old licensetxt,documentation_debt,5,train
set javadoc generat quiet get rid superflu inform messag reduc log size,code/design_debt,6,train
hotfixyarn remov legaci descriptor method,code/design_debt,7,train
remov protect test accid left,code/design_debt,8,train
fix typo cassandra2873,documentation_debt,9,train
fix typo error messag,documentation_debt,11,train
dont download ratzip alreadi,code/design_debt,12,train
camel791 ad miss licens,documentation_debt,14,train
accumulo4779 improv perform get prefix config 372 chang improv perform cach config prefix also remov custom method get vfs config get config prefix fast use vfs,code/design_debt,17,train
effici header commit couchdb767,code/design_debt,19,train
minificpp299 shore http client code minificpp299 resolv issu test take long minificpp306 resolv issu http client code impact larg transfer chang made increas memori usag allow larg transfer succeed close 189,code/design_debt,20,train
zookeeper3599 clic resuscit oldstyl argument pars zookeeper2122 ad ssl support client clistmt tool introduc muchwelcom gnustyl getoptlong argument pars tri preserv backward compat earlier version httpsgithubcomapachezookeeperpull1131 introduc option posixstyl getopt argument pars consequ larg obsolet ssl updat howev support oldstyl argument avoid break workflowshttpsxkcdcom1172 patch salvag featur preserv getoptlong good legacyon ad new posit argument support as discuss thread httpsgithubcomapachezookeeperpull1131pullrequestreview320870245 close 1131 ztzgzookeeper3599usegetoptincl,code/design_debt,21,train
bug 8866 direct network usag trafficsentinel support ad work progress,requirement_debt,23,train
spark8240sql string function concat close 7486 rxinconcat squash follow commit 5217d6e reynold xin remov hive concat test f5cb7a3 reynold xin concat never nullabl ae4e61f reynold xin remov extra import fddcbbd reynold xin fix npe 22e831c reynold xin ad miss file 57a2352 reynold xin spark8240sql string function concat,code/design_debt,24,train
hotfix resolv compil warn akkarpcservic,code/design_debt,25,train
add miss spring boot test,test_debt,26,train
add better view comparingmanag param profil 3919 add better view comparingmanag param profil add document profil comparison view limit wordbreak css paramet tabl remov use underscorej method favor built javascript method doc chang plus minor style chang param key exist profil unfortun need check first add changelog entri add test select profil compar chang visual indic blue shadow,code/design_debt,27,train
merg branch androidfeature20160607 httpsgithubcomalibabaweex androidfeature20160607listopt androidfeature20160607 httpsgithubcomalibabaweex commit revert android updat buildgrad remov okhttpw conflict androidsdksrcmainjavacomtaobaoweexuiwxrecycleimagemanagerjava,code/design_debt,28,train
ts3452 better debug messag sslerrorssl incorpor chang suggest sudheer peek,code/design_debt,29,train
ts2094 elimin xcrun warn configur time xcrun doesnt support showsdkpath option xcode dont care though librari look dont move sdk bundl xcode either safe silenc error spew xcode,code/design_debt,31,train
ambari11886 return 400 respons good error msg user attempt use api scale provis cluster,code/design_debt,33,train
remov duplic configur direct patch eevan cassandra557,code/design_debt,34,train
make output cidockerinstallubuntumklmlsh less verbos 12422,code/design_debt,35,train
hbase4959 sitexml ad lefthand nav videospr bookxml nit capit fix,code/design_debt,36,train
minor remov ignor test hang ad new version eo test 5666,test_debt,38,train
remov old typica librari,code/design_debt,39,train
fix test syntax cleanup 2569,code/design_debt,41,train
kafka9501 convert activ standbi without close store 8248 gone sever signific transit here latest taskmanag collect task transit refer activestandbi task creator handl close recycl old task creat new one ever hit except close bail close remain task dirti task creator tell task close recycl state success tell recycl processor context state manag transit new type close recycl task normal clean close instead close state manag inform recycl maintain store inform import current store offset unregist changelog changelog reader new task reregist changelog initi skip reregist store still read checkpoint file use written offset store offset alreadi initi pretransit ensur dont end manual compact disabl standbi call state restor listen onrestoreend activ restor store switch standbi,code/design_debt,42,train
nifi3896 make deprecationnotic intuit close 1799 updat develop guid deprec compon,code/design_debt,43,train
add kinesi lag metric 9509 add kinesi lag metric fix heh right time test split supervisor report lag lagmilli remov latest offset kinesi supervisor report sinc alway null review stuff,test_debt,44,train
reorgan test class,code/design_debt,45,train
spark31862sql remov except wrap aqe chang propos pull request remov excess except wrap aqe error messag less verbos most consist nonaq execut except stage materi wrap sparkexcept multipl stage failur also stage cancel error includ part except thrown rather error log chang need make aqe error report readabl debugg introduc userfac chang patch test updat exist test close 28668 maryannxuespark31862,code/design_debt,46,train
temporari test code,test_debt,47,train
cloudstack6181 specifi valu rootdisks paramet add bytesgb log except messag fix gbgb,code/design_debt,48,train
optim longestmatch delimit algorithm longestmatch function call everytim delimit found file type function notic hotspot although like worst case current longestmatch algorithm could entir match list time find locat earliest match remov match start later locat find longest length remain addit use various scala function caus new list alloc caus slower perform modifi algorithm match list keep track first longest match seen addit function code replac iter code perform last replac seq arraybuff guarante constant append constant random access match sequenc also add earli return case one match probabl like case dfdl992,code/design_debt,49,train
ignite12339 remov outdat properti isdistribut vector matrix class 7026,code/design_debt,50,train
spoi2486 resolv comment workaround maprfilesystemgetschem,code/design_debt,51,train
updat doc extens 9218 updat doc avro extens doc updat googl cleanup,documentation_debt,52,train
cleanup xbean version,code/design_debt,53,train
hive9381 hcatalog hardcod maximum append limit 1000 sushanth sowmyan review daniel dai,code/design_debt,54,train
hdds1597 remov hddsserverscm depend ozonecommon 969 hdds1597 remov hddsserverscm depend ozonecommon contribut elek marton checkstyl fix revert import reorder hddsutil add javadoc switch back commonslang2 fix typo fix metric core classpath problem rebas fix,documentation_debt,56,train
debug log,code/design_debt,57,train
hbase7066 hmaster coprocessor except swallow tri catch block revert,code/design_debt,58,train
multipl thread safeti,requirement_debt,59,train
merg pull request 4724 add log around bigqueri job add log around bigqueri job,code/design_debt,60,train
geode3290 remov effectivelydead class filterchain localfilterchain remotefilterchain close 653,code/design_debt,61,train
remov retri logic doesnt work correct result 50x retri doesnt make sens given singl call mutationexecut result 10x retri polici,code/design_debt,63,train
add pattern ignor urfunreadpublicorprotectedfield findbug warn,code/design_debt,64,train
unus import,code/design_debt,65,train
spark1397 notifi sparklisten stage fail cancel want post folk comment depend thus includ chang current outstand 305 look second commit httpsgithubcomkayousterhoutspark1commit93f08baf731b9eaf5c9792a5373560526e2bccac see chang relev previous stage fail get cancel sparklisten notifi indirect sparklistenerjobend sometim pass singl stage fail work job cancel job would fail due singl stage failur howev job cancel multipl run stage fail job get cancel right handl correct result stage get stuck run stage window even though they re dead chang sparklistenerstagecomplet event sparklistenerstageend event use event tell sparklisten stage fail addit complet success chang public backward compat two reason first chang sparklisten interfac could altern add new event sparklistenerstagefail keep exist sparklistenerstagecomplet howev less consist listen event task job end result code duplic listen fail complet stage handl similar way note haven t finish updat json code correct handl new event i m wait feedback whether good bad idea henc wip also backward compat chang public visibl jobwaiterjobfail method longer includ stage caus failur think chang definit stay cancel describ failur isn t necessarili caus singl stage close 309 kayousterhoutstagecancel squash follow commit 5533ecd kay ousterhout fix respons mark review 320c7c7 kay ousterhout notifi sparklisten stage fail cancel,code/design_debt,66,train
artemis350 small improv writabl logic,code/design_debt,69,train
ad miss licens notic file camelcmsm compon,documentation_debt,70,train
ad elementhelperlegalkeyvalu paramet give better except messag gremlin user travers use parameterizedstep addv fix tinkerpop1324 ctr,code/design_debt,71,train
test graph op skipstal,test_debt,72,train
add file chang detect mechan 4475 add file chang detect mechan fix format make file content chang monitor easier add secondari round chang check result updat support multipl file chang monitor,code/design_debt,73,train
jav163 simplifi trace collector address config,code/design_debt,74,train
get rid noinspect comment move result express statement assumpt use assumpt call intend need noinspect anymor,documentation_debt,75,train
javadoc,documentation_debt,76,train
hdfs4216 ignor quotaexceededexcept ad symlink,code/design_debt,78,train
karaf1951remov workaround karaf1117,code/design_debt,79,train
updat ratetrack thread safe accur fast remov subsampl rate calcul disruptor subsampl expens calcul,requirement_debt,81,train
ambari18324 extern skip repo url check ambariproperti instead hardcod ambari java code dili,code/design_debt,82,train
solr6892 improv way updat processor use make simpler,code/design_debt,83,train
ts637 remov updaterecordscc also cleanup discrep use localmanag defin sort mess honest ought clean better long term,code/design_debt,85,train
lucene2037 add support lucenetestcasegetnam backward compat report fail test also remov intercepttestcaseev class ad anonym class simplifi reflect,code/design_debt,86,train
disabl flaki test testconv gluon 11507,test_debt,87,train
hotfixtablecommon fix minor typo objectidentifi,documentation_debt,88,train
camel15865 camelgithub authent usernamepassword remov longer possibl github,code/design_debt,90,train
ts1146 consist appli 2char indent,code/design_debt,91,train
fix audit new bulk import remov warn 523 fix audit new bulk import remov warn fix bunch warn ensur new bulk import request audit remov unneed deprec intern impl code old bulk import remov unnecessari serializ new bulk code map inform use new bulk import test specif test old bulk import behavior remov unus variabl test left comment refer ongo improv client configur code,code/design_debt,92,train
reorg import,code/design_debt,93,train
chang cdnname cdndomainnam deliveryserviceinfofordomainlist look like typo tri get deliveri servic domain name mid cach come cdn name,documentation_debt,94,train
remov debug statement test releas note moemigratedrevid114886024,code/design_debt,95,train
hotfixtableplannerblink fix redund line break plan xml copi xmloutput calcit remov redund line cdata section file remov bump calcit 122,code/design_debt,96,train
tobago1212 use jsr 269 pluggabl annot process api test check overwritten method treenod deprec attribut,code/design_debt,97,train
thrift926 cpp fix destructor behavior tfiletransport set close true wake writer thread destructor way writer thread flush data exit woken previous writer thread could end go full timeout cycl exit writer thread could wake notic noth sinc close set immedi back sleep destructor would proceed call flush would wait writer thread wake full time clear forceflush flag flush return destructor would set close could take writer thread anoth full timeout wake process flag also point worker thread would detect close state loop automat close file zero file descriptor destruct attempt close file fix simpli zero point,code/design_debt,98,train
hadoop1868 make default configur respons,code/design_debt,99,train
delet debug comment,documentation_debt,100,train
accumulo2789 ad paramet control number cell within row run stress test possibl configur writer send mutat row contain random amount column updat control via minrowwidth maxrowwidth rowwidthse paramet intern shuffl make random generat number within rang conveni see new randomwithinrang class detail,code/design_debt,101,train
extract newsystemt method unus code cfmetadata patch jbelli,code/design_debt,102,train
make servcenow test configur easier,code/design_debt,103,train
clean cdns account cdn packag,code/design_debt,104,train
polish camelftp ad miss unit test tri close apach ftp server bamboo happi better handl except thrown ftp consum stop etc,test_debt,105,train
systemml1357 fix valu type promot scalarscalar oper patch fix various inconsist valu type promot scalarscalar binari oper shown recent saniti test includ testsuit furthermor also includ rework function scalar object forc proper implement subclass comparison index function remov unnecessari redund doublelong execut clone languagedepend string handl remov unnecessari except handl final also includ problemat testcas testsuit referenc current data generat algorithm script,code/design_debt,106,train
implement availableportisportavail multicast availableport util support find free multicast port sinc featuregeode77 merg develop branch chang set enabl old multicast code availableport implement check respons datagram jgroupsmesseng jgroup transport method receiv packet overridden look datagram respond also renam availableportjgroup availableportmulticast describ kind port that test littl better,code/design_debt,110,train
convert internalinsert use moreeffici rowmut constructor,code/design_debt,111,train
cleanup,code/design_debt,112,train
beam9543 fix code style,code/design_debt,113,train
ad predic helper header method build easier power express predic,code/design_debt,114,train
chang indent,code/design_debt,115,train
cleanup stax depend longer need,code/design_debt,117,train
hbase4054 usabl improv htablepool,code/design_debt,118,train
indent,code/design_debt,119,train
hadoop16157 cleanup remov null check instanceof azurenativefilesystemstor,code/design_debt,120,train
matrix fix start index extract function jira madlib1006,code/design_debt,121,train
preliminari version naiv bay todo translat python resolv secur issuescod inject,requirement_debt,122,train
guac676 convers guacamoledisplay wasnt finish transfer other still direct use layer,requirement_debt,123,train
fix typo mockproduc javadoc 4606,documentation_debt,124,train
camel7731 fix typo,documentation_debt,125,train
fix typo document,documentation_debt,126,train
spark11443 reserv space line trimcodeblocklin function includeexamplerb remov blank line code close 9400 yinxusenspark11443,code/design_debt,127,train
stream streamrecord remak cleanup,code/design_debt,130,train
add abstracttransformingenrich make easi write enrich combin sensor amend type hierarchi enrich updat shellutil,code/design_debt,131,train
add quantize support gluoncv 15754 enhanc quantize api integr gluoncv solut support gluon ssd enhanc api enhanc exampl script add wildcard match exclud layer support int8 dtype paramet enabl datait api use tri method add unit test quantiz gluon fix lint fix lint fix temporari directori python2 fix lint fix tri import add todo trigger,requirement_debt,132,train
remov dead alldoc code,code/design_debt,133,train
camelsapnetweav compon work progress,requirement_debt,134,train
ad saml sso test,test_debt,135,train
arrow3882 rust cast kernel type implement cast kernel arrow type limit complet cast structarray support cast listarray nonlist array support cast incompat primit type support tempor boolean close 3797 nevimearrow3882 squash follow commit 67c3ab3 wakahisa merg branch master arrow3882 0f42cd1 nevill dipal replac cast macro generic function 66acfb3 nevill dipal move castkernel kernelscast 9784313 nevill dipal fix doc comment 04c7307 nevill dipal boolean cast document error handl 4a8906b nevill dipal cast binari numer c3b8961 nevill dipal use arrow cast datafus ae9509c nevill dipal arrow3882 cast kernel type,requirement_debt,136,train
polish,code/design_debt,137,train
fill miss test coverag druiddatasketch postagg 9730 fill miss test coverag druiddatasketch postagg fixup fixup merg oop oop,test_debt,138,train
mark test slow take near minut,test_debt,139,train
systemds2650 recomput lineag dedup patch add chang compil dedup patch function main program place function call dedupop call correspond function move recomput relat code new class add new test class match recomput result origin output current code doesnt support multipl loop futur commit add optim construct multireturn function equival function call loop,requirement_debt,140,train
support isnul mayb includ absent null semant simplifi api usag context handl null differ present null confus,code/design_debt,144,train
flink16661 move static job set applicationdispatcherbootstrap support static job id handinhand requir job graph stay fix across consecut execut addit job job execut cluster commit consolid logic context applic mode one place applicationdispatcherbootstrap,code/design_debt,145,train
separ dql dml support creat select optim code structur,code/design_debt,146,train
hack broken test wast hour jenkin time,test_debt,147,train
simplifi,code/design_debt,148,train
hotfix doc fix typo indexmd close 6193,documentation_debt,149,train
polish fix test slow server,test_debt,150,train
merg pull request 10999 beam9345 fix sourc test flaki flinksubmissiontest,test_debt,151,train
spark4516 avoid alloc netti pooledbytebufalloc unnecessarili turn alloc alloc pool everi transportcli mean number increas number node cluster realli reus one client patch expect great decreas offheap memori alloc appear make alloc proport number core close 3465 aarondavfewerpool squash follow commit 36c49da aaron davidson spark4516 avoid alloc unnecessarili netti pooledbytebufalloc,code/design_debt,152,train
nifi5390 ad document deletebyqueryelasticsearch close 2865,documentation_debt,153,train
typo,documentation_debt,154,train
89826 systemml engin cleanup instruct generationpars luqreigen use common operand delimit,code/design_debt,155,train
fix miss warn,code/design_debt,156,train
merg pull request 1665 shapebluejsb4910vers chang databas upgrad script name consist 4910 releas chang name schema490to491 script schema490to4910 chang name upgrade490to491 class upgrade490to4910 modifi marvin setuppi script use version 4910snapshot rhtyd karuturi pr1665 renam 4904910 upgrad script match four posit version scheme,code/design_debt,159,train
updat exampl blueprint nodej todo applic,requirement_debt,160,train
use javaiotmpdir instead hardcod tmp,code/design_debt,161,train
karaf4660 fix typo wrapper instal output messag fix command use karafservic file instead complet path,documentation_debt,162,train
broker close topic remain fenc forc 8561 motiv day face problem topic remain fenc unavail topic remain unavail unload follow broker log time maintain zookeep server think phenomenon caus shutdown server howev causal relationship clarifi modif workaround close topic remain fenc period time reconnect client instanti new persistenttop topic topic back normal,code/design_debt,163,train
remov unus code renam packag name,code/design_debt,164,train
futon simplifi placehold fallback use jqueri live focus event,code/design_debt,165,train
temporari fix reset outputstream java standard consol close output systemerr initi effect stderr close whole applic,code/design_debt,166,train
nifi730 ad error messag fail drop flowfil queue,code/design_debt,167,train
kylin2266 reduc memori usag build global dict,code/design_debt,168,train
hdds3068 crash startup print error messag log 599,code/design_debt,169,train
spark2652 pyspark turn default config pyspark add sever default config pyspark relat serial jvm sparkseri orgapachesparkserializerkryoseri sparkserializerobjectstreamreset 100 sparkrddcompress true help reduc memori usag rddpartitionbi close 1568 daviesconf squash follow commit cd316f1 davi liu remov duplic line f71a355 davi liu rebas master add sparkrddcompress true 8f63f45 davi liu merg branch master conf 8bc9f08 davi liu fix unittest c04a83d davi liu default config pyspark,code/design_debt,170,train
minor fix typo javadoc code comment close 2595 vahidhashemianminorfixtypos1702,documentation_debt,173,train
correct integr test structur 2293 correct integr test structur correct build file,code/design_debt,174,train
typo,documentation_debt,175,train
ambari20277 ambari server perform alert get trigger repeat get cluster api call take second mpapirkovskyy,code/design_debt,177,train
better error emit mismatch rule,code/design_debt,178,train
test remov script refer previous remov content 2596,code/design_debt,179,train
unnecessari fulli qualifi name,code/design_debt,181,train
spark6575sql convert parquet metastor tabl longer cach metadata httpsissuesapacheorgjirabrowsespark6575 close 5339 yhuaiparquetrelationcach squash follow commit 83d9846 yin huai remov unnecessari chang c0dc7a4 yin huai cach convert parquet relat,code/design_debt,184,train
fix code style,code/design_debt,186,train
spark6752 stream revis allow streamingcontext recreat checkpoint exist sparkcontext revis earlier version see 5773 pass activ sparkcontext explicit new set java scala api drawback hard implement python new api introduc even confus sinc introduc getactiveorcr spark7553 furthermor direct way get exist activ sparkcontext creat new sparkcontextgetorcreateconf better use get sparkcontext rather new api explicit pass context remov new version streamingcontextgetorcr took sparkcontext ad abil pick exist sparkcontext streamingcontext tri creat sparkcontext close 6096 tdasspark6752 squash follow commit 53f4b2d tathagata das merg remotetrack branch apachegithubmast spark6752 f024b77 tathagata das remov extra api use sparkcontextgetorcr,code/design_debt,187,train
fix intellij warn,code/design_debt,188,train
log inform sampler caus error,code/design_debt,189,train
trafodion2481 improv ambari section provis guid add small screen cap better illustr ambari integr fix coupl typo projectnam macro thank anuradha review fix bug ambari integr code found exercis step doc,documentation_debt,190,train
code tidi complet merg old entityproperti activ attribut type chang activ attributemap,code/design_debt,191,train
hadoop8686 fix warn nativ code contribut colin patrick mccabe,code/design_debt,193,train
put trace info datat trace enabl 2052 fix issu trace info set datat even trace enabl encount except still put request data tabl clean trace anoth perform,code/design_debt,194,train
delet unus,code/design_debt,195,train
drill4690 initi support cor ad crossoriginfilt webserv base option httpenablecor fix issu relat style restrict header ad run filterchain filter orgeclipsejettyservlet enabl configur jetti version 915 restrict filter path cor default disabl reduc size depend reset maxsiz close 507,code/design_debt,196,train
fix typo,documentation_debt,197,train
samza1711 reenabl exist standalon integr test chang enabl exist standalon integr test except testzkstreamprocessorsessiontestzkstreamprocessorsess flaki spawn streamprocessor kill one streamprocessor zookeep session expir sleep second proceed valid rebalanc phase take longer sleep time valid fail remov zookeep unavail unit test localapplicationrunnerrac condit zookeep shutdown fail test delet test ad back separ test class increas zookeep server minimum session timeout second 120 second add assert valid kafka topic setup success unit test valid verifi run follow script top patch master branch result close 515 shanthooshturnallintegrationtestson,test_debt,198,train
unskip skip test,test_debt,199,train
fix fix style header sqllab 11980 fix style header flex refactor remov style import chang width contain add tooltip set fix width sidebar fix lint,code/design_debt,200,train
phoenix2599 phoenixrecordread handl staleregionboundarycacheexcept,code/design_debt,201,train
jacoco use httpsanalysisapacheorg remov unus code fix old todo,requirement_debt,202,train
minor format fix properti mention section grape close,code/design_debt,203,train
arrow7162 cleanup warn cmakemodulessetupcxxflagscmak close 5828 pitrouarrow7162cleanupclangwarn squash follow commit e6cb6cd2a antoin pitrou arrow7162 cleanup warn cmakemodulessetupcxxflagscmak,code/design_debt,207,train
ignite8347 memori leak restart ignit node enabl persist threadloc fix 3891,code/design_debt,208,train
merg pull request 430 hilongjwpatch1 doc correct spell error,documentation_debt,210,train
close 2413,code/design_debt,211,train
add current buff keep buffer sane pars syntax error add leftshift groovi execut support split command execut wee cleaner code,code/design_debt,214,train
add proper close s3pinotf s3client s3pinotfstest 5287 ad teardown method propoer uniniti chang annot beforemethod beforeclass need done temporarili disabl test seem give follow error environ block figur root caus 235948761 main error orgspringframeworkbootdiagnosticsloggingfailureanalysisreport applic fail start descript web server fail start port 1947 alreadi use action identifi stop process that listen port 1947 configur applic listen anoth port,test_debt,215,train
accumulo2224 make zoosess resili face transient dns issu retri host found 2xzk timeout ioexcept rather bail host name problem add util method get max time jvm cach host failur add test said method,code/design_debt,216,train
brooklyn108 use right installdir rebind,code/design_debt,217,train
merg pull request 555 lburgazzoligithub553 random http test port,code/design_debt,218,train
zeppelin502 python interpret group ad python interpret basic implement py4j exampl java processbuild object use instanti python repl interpret doesnt bring python binari use python specifi pythonpath configut thus still use specif instal python modul scikitlearn matplotlib interpret abl work python without chang python helper function zeppelinshow easili display matplotlib graph svg type featur todo jira issu zeppelin502httpsissuesapacheorgjirabrowsezeppelin502jqlproject203d20zeppelin20and20text202022python22 test interpret screen python section specifi pythonpath python binari want use paragraph use interpret python call help describ interpret functionn instal py4j pip instal py4j want use input form screenshot question licens file need updat yes binlicens py4j break chang older version need document yes close 869 hriviereprinterpreterpython squash follow commit 80b6e75 herv rivier zeppelin502 move bsd py4j licens zeppelindistributionsrcbinlicenselicens a4b82a5 herv rivier zeppelin502improv doc follow ahyoungryu review 3252353 herv rivier zeppelin502 format code respect project convent 54ec4f1 herv rivier zeppelin502improv doc follow ahyoungryu review 6a831bc herv rivier zeppelin502 add bsd py4j licens 11e1b9c herv rivier zeppelin502 minor chang pythonmd e5d0bdb herv rivier zeppelin502 chang pythonpath zeppelinpython c62ac98 herv rivier zeppelin502 improv pythonmd 5008125 herv rivier zeppelin502 improv pythonmd featur yet support technic descript 7d533e1 herv rivier zeppelin502 add test reform code help test write fecaf25 herv rivier zeppelin502 renam pythonpath python default usrbinpython python 02d1320 herv rivier zeppelin502 input form chang simpl input form nativ pyspark syntax 60d2956 herv rivier zeppelin502 indent pep8 convent 9bdb192 herv rivier zeppelin502 add pythonmd navigationhtml 7142aa5 herv rivier zeppelin502 catch except loggererror 1a86ad7 herv rivier zeppelin502 python interpret group,code/design_debt,219,train
camel3458 fix bindi fix length mode throw except field larger allow length ad option clip clip field happen workaround issu,code/design_debt,220,train
spark34585sql remov longer need batchwritehelp chang propos pull request followup spark34456 remov batchwritehelp complet chang need chang remov longer use code introduc userfac chang patch test exist test close 31699 aokolnychyispark34585,code/design_debt,222,train
camel8023 polish java doc,documentation_debt,223,train
solr12289 add mdc log inform collect admin request,code/design_debt,224,train
code style,code/design_debt,228,train
camelgoogledr fix switchcas indent see camel14540,code/design_debt,229,train
arrow6658 rustdatafus implement avg express wasnt sure datatyp sumcount pick broadest f64 i64 also may may better implement sumcount either way chang modr need test sql f64 close 5558 alippaiarrow6658 squash follow commit 20cddef76 andi grove fix typo 62372f690 andi grove remov unwrap cc32f2219 andi grove rebas ebc3acbaa adam lippai arrow6658 implement avg express leadauthoredbi adam lippai adamrigosk,documentation_debt,230,train
improv error messag result use holder simpl front end remov entir aegi test nonexist featur whose test case ignor long time remov mislead comment dynam client unit test,documentation_debt,231,train
remov extran executioncontext paramet basestepcontext,code/design_debt,232,train
geode4688 refactor addserverlocatorep 220 pass poolfactori refer improv readabl convert c11,code/design_debt,233,train
chore clean aphrodit 10883,code/design_debt,234,train
rest dsl camelswagg work progress,requirement_debt,235,train
hdfs7932 speed shutdown datanod roll upgrad contribut kihwal lee,code/design_debt,237,train
solr10420 fix watcher leak distributedqueu,code/design_debt,238,train
